feature,importance
num__lat,0.0588188161710195
num__long,0.050978493684704904
num__age,0.04954325555202004
bin__ceinture,0.04024661388822878
num__day_sin,0.03398992897427459
num__day_cos,0.03362163816425314
num__hour_cos,0.024111180915235654
num__hour_sin,0.024091073699066066
bin__casque,0.01950361213504124
num__weekday_sin,0.01840684973842869
cat__agg_1.0,0.018055790412335845
num__month_sin,0.017773465769415835
num__month_cos,0.017617645368329705
cat__catr_3.0,0.017523438991028744
cat__obs_0,0.01707258803919432
cat__agg_2.0,0.016298732867469003
cat__obsm_0,0.01624849351263497
num__weekday_cos,0.013831097061050908
cat__circ_2.0,0.012682700425214695
cat__catv_7,0.012251633194312588
bin__aucun,0.011972992488007157
cat__obsm_2,0.011816354680383065
cat__col_1.0,0.010566071087907107
cat__situ_1.0,0.010475612606803558
cat__situ_3.0,0.00970865888120139
cat__catv_33,0.009700894072523477
cat__catr_4.0,0.009585317392597515
cat__choc_1,0.009042590300544244
cat__obsm_1,0.008315327222411075
cat__place_10,0.00798889386181214
cat__senc_1,0.007228684056883972
cat__manv_1,0.007066995472338606
cat__senc_2,0.006896556079363316
bin__gants,0.006759054728966512
cat__circ_1.0,0.006571920421118259
bin__non determinable,0.006567694335557958
cat__catu_1,0.006498545186148473
cat__catu_3,0.006492684444627212
cat__col_6.0,0.0064856487898652185
cat__sexe_1,0.006458701025946646
cat__col_3.0,0.00643001287005115
cat__sexe_2,0.006407679463043357
cat__plan_1.0,0.006333630362237195
cat__manv_13,0.006282205302178368
cat__col_2.0,0.006139387947708313
cat__place_1,0.005905836891648698
cat__choc_4,0.005710312885163143
cat__int_1.0,0.0056931722481734625
cat__catr_1.0,0.005577942650530125
bin__is_weekend,0.0055135123756065675
cat__lum_1.0,0.005506351465517629
cat__prof_1.0,0.0051389697919795
cat__motor_1,0.004758000926800913
cat__prof_2.0,0.004749551399226417
cat__lum_3.0,0.004668250566153943
cat__atm_1.0,0.0046579535328510275
cat__manv_2,0.004638997629303758
cat__choc_3,0.004575944545501054
cat__col_7.0,0.004570187469018524
cat__place_2,0.004520425929756494
cat__senc_3,0.0045151372418470725
cat__col_4.0,0.004401908840447745
cat__choc_2,0.004388225038530072
cat__surf_1.0,0.0043743480340897025
cat__infra_0.0,0.004354551999856439
cat__circ_3.0,0.004336751216814155
cat__surf_2.0,0.004191499397929929
cat__catu_2,0.0041886343327377775
cat__manv_15,0.0037004691683506724
cat__lum_5.0,0.0036388078320043803
cat__obs_2,0.003589930910528784
cat__plan_2.0,0.00351557595714485
cat__plan_3.0,0.003484149065707805
cat__catv_10,0.0033864901474966224
cat__atm_2.0,0.0033800022245356076
cat__vosp_0.0,0.0033082419369978395
cat__int_2.0,0.003269870280512399
cat__manv_0,0.0032139017287184345
cat__senc_0,0.00311571321865915
cat__choc_8,0.0030857094191203667
cat__catv_2,0.003060704904553251
cat__lum_2.0,0.002973290467410564
cat__int_3.0,0.0029149373959282414
cat__choc_7,0.002913528057279971
cat__motor_0,0.0028642853202487466
cat__motor_5,0.0028106872848034006
cat__catv_1,0.002798477268207828
cat__choc_0,0.0026220259080238116
cat__col_5.0,0.002617327802351656
cat__catr_2.0,0.002431331731347093
cat__manv_17,0.002372185405597353
cat__atm_8.0,0.002275937271408427
cat__int_9.0,0.00224416117445341
cat__infra_5.0,0.00220708019635482
cat__manv_26,0.0021728275126752174
cat__choc_6,0.002161199722842882
cat__obs_6,0.002080138988070012
bin__autre,0.002004372392050908
cat__catv_30,0.0019257457058954395
cat__infra_9.0,0.0018503055404220409
cat__int_6.0,0.0018204031840433272
cat__manv_5,0.0018044697052297088
cat__situ_8.0,0.001803883185384317
cat__obs_13,0.0017998165102045907
cat__vosp_1.0,0.0017873764164708101
cat__catr_7.0,0.0017286519967494823
cat__choc_9,0.0017070239569824063
cat__obs_1,0.0016537999119115548
cat__manv_21,0.0016275229179513928
cat__motor_3,0.0016053501409957632
cat__manv_14,0.0015527587163679125
cat__manv_19,0.0015289982233255344
cat__vosp_3.0,0.001507829488102472
cat__atm_3.0,0.0015015192677037559
cat__catv_31,0.0014926496689067691
cat__obs_3,0.0014400522983074166
cat__manv_9,0.0014195595202440821
cat__place_9,0.0014026252642906642
cat__catv_32,0.0013818650052688586
cat__atm_7.0,0.0013801599256864857
cat__prof_3.0,0.001367713938044131
bin__airbag,0.0013479935848339864
cat__place_3,0.0013228492721191968
cat__place_7,0.0013107923419664166
cat__choc_5,0.001309613754019
cat__manv_16,0.001290430326166027
cat__manv_23,0.0012448862326385618
cat__place_4,0.0012413165491064408
cat__vosp_2.0,0.0012189945574777434
cat__infra_2.0,0.0012051919187429008
cat__obs_8,0.0011686257208053169
cat__plan_4.0,0.0011666228613184295
cat__prof_4.0,0.001147547262188385
cat__obs_4,0.0011057577238483924
cat__int_4.0,0.0011009652420767427
cat__situ_4.0,0.001028787339218152
cat__manv_3,0.0009975746564383965
cat__motor_2,0.0009778704775276884
cat__situ_5.0,0.0009513398989557774
cat__obsm_9,0.0009464474905095439
cat__catv_15,0.0009100465926274607
cat__catv_50,0.0009002361427473181
cat__catv_34,0.0008556871337839887
cat__infra_3.0,0.0008474435503957846
cat__catv_37,0.0008191671559012715
cat__catv_3,0.0008175765184539572
cat__lum_4.0,0.0008072743344062181
cat__infra_1.0,0.0007693236904828529
cat__atm_5.0,0.0007405233406574471
cat__infra_8.0,0.0007315712925753691
cat__catv_38,0.0007179493411042806
bin__dispositif_enfant,0.0007173585080760271
cat__motor_6,0.0006906455108869261
cat__obs_12,0.0006777496888363811
cat__obs_15,0.0006729374921785887
cat__manv_11,0.0006690501345046746
cat__obs_14,0.0006533405415363451
bin__gilet_reflechissant,0.000633686887249953
cat__catv_14,0.0006087514873917832
cat__place_8,0.0006076144661479897
cat__situ_6.0,0.0005948119613747554
cat__situ_2.0,0.0005923239707191181
cat__infra_6.0,0.0005640208122813547
cat__place_5,0.0005449836175006347
cat__manv_12,0.0005393840357983553
cat__atm_9.0,0.0005256147519076519
cat__obs_9,0.000513787857252543
cat__catv_21,0.0005058496554738969
cat__catv_17,0.0004900004643616942
cat__surf_7.0,0.0004893159125271276
cat__catv_43,0.000487666709306492
cat__manv_18,0.00048689757080633105
cat__int_7.0,0.00047713160902765095
cat__surf_9.0,0.0004734457045650872
cat__obs_16,0.00046336502347366033
cat__catv_99,0.00046206826039159305
cat__catr_6.0,0.0004487910935711693
cat__catv_80,0.00043686868564429685
cat__circ_4.0,0.00041968281353576496
cat__atm_4.0,0.00041253756389854107
cat__atm_6.0,0.00040576466319546174
cat__obs_7,0.00039767962458283636
cat__catr_9.0,0.0003972220327158622
cat__manv_20,0.0003671870500251727
cat__manv_10,0.0003559355789129265
cat__infra_4.0,0.0003495818743820183
cat__int_5.0,0.00033807189318451746
cat__manv_24,0.0003344865550801128
cat__manv_4,0.00029966234618138566
cat__manv_6,0.00029624564305591445
cat__obs_5,0.00029140042857982715
cat__catv_13,0.0002804190883812677
cat__manv_25,0.00026982175516162567
cat__int_8.0,0.0002541711891763635
cat__obsm_6,0.00025068868673674093
cat__catv_36,0.0002501381404750947
cat__obs_11,0.00022820274756017391
cat__place_6,0.00022158347488665013
cat__surf_5.0,0.0002206730079178838
cat__surf_3.0,0.00020202233820852574
cat__obsm_4,0.00019275474234500608
cat__obs_10,0.0001873218100516591
cat__manv_7,0.00018144295697252399
cat__catv_0,0.00018056749246579218
cat__surf_8.0,0.0001746997346342755
cat__catv_60,0.00016912725501881876
cat__obs_17,0.00015764616615872946
cat__obsm_5,0.0001456552111735181
cat__catv_20,0.0001352987236968077
cat__infra_7.0,0.0001310703646722243
cat__catr_5.0,0.00010955390261207884
cat__catv_40,0.00010139943184663817
cat__surf_6.0,9.729388935093414e-05
cat__catv_39,8.169136361572609e-05
cat__surf_4.0,6.988769602575727e-05
cat__motor_4,6.553341035225002e-05
cat__manv_8,6.048811954547929e-05
cat__manv_22,5.824603569338232e-05
cat__catv_35,4.636419049139857e-05
cat__catv_16,3.331231939463847e-05
cat__catv_41,2.904001763551058e-05
cat__catv_42,2.148871968496349e-05
